competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,10075555,5215192,385664,4405391,1,2048,1024
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,442234193,337046726,73186336,31996021,1,128,64
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,29998141,5843348,2370784,21780203,1,128,128
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19692767,5956122,2369184,11364722,1,128,256
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,28523516,5927284,2367360,20225405,1,128,512
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19414118,5967533,2378368,11064349,1,128,1024
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19724298,5862864,2376224,11481978,1,256,64
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19630517,5925024,2372192,11329419,1,256,128
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19450098,5853098,2373664,11220239,1,256,256
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,30464605,5897073,2369760,22188007,1,256,512
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19587890,5980914,2380192,11224154,1,256,1024
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19757942,5904843,2374592,11474596,1,512,64
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,31161547,5915960,2379328,22863007,1,512,128
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19532649,5924108,2373792,11231028,1,512,256
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19536022,5880655,2372928,11279151,1,512,512
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19907745,5945895,2372096,11586310,1,512,1024
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19579135,5946489,2378112,11252080,1,1024,64
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19479035,5893521,2372192,11210733,1,1024,128
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19505922,5865655,2372416,11264281,1,1024,256
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19650151,5889709,2371264,11386530,1,1024,512
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19786671,5978422,2379904,11425742,1,1024,1024
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19674360,5905903,2375520,11389252,1,2048,64
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19528791,5871263,2376128,11278502,1,2048,128
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19514151,5914202,2370080,11226447,1,2048,256
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19449741,5838890,2374112,11234059,1,2048,512
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,19588563,5910872,2371968,11302497,1,2048,1024
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,41520543,3937181,34627584,2952719,1,128,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,48415148,3811167,41717760,2883109,1,128,128
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,71408828,3786656,64741380,2877066,1,128,256
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124049467,3772636,117397504,2876167,1,128,512
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124169776,3776201,117525504,2866084,1,128,1024
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,41258511,3782515,34597888,2875467,1,256,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,48348302,3803149,41668608,2874372,1,256,128
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,71582511,3787674,64928764,2863550,1,256,256
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124094317,3768819,117443584,2879789,1,256,512
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124121850,3779948,117460992,2879118,1,256,1024
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,41310253,3784398,34638848,2883508,1,512,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,48342446,3766019,41714688,2859922,1,512,128
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,71249453,3791036,64588800,2867163,1,512,256
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124110659,3790574,117442560,2874586,1,512,512
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124035800,3770071,117400576,2863472,1,512,1024
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,41262906,3771658,34603008,2885354,1,1024,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,48303978,3791491,41641984,2867606,1,1024,128
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,71588469,3771568,64913408,2900377,1,1024,256
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124074420,3780304,117426176,2865428,1,1024,512
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,123987554,3759516,117356544,2869494,1,1024,1024
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,41262466,3769278,34618368,2871071,1,2048,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,48223958,3780575,41563136,2877512,1,2048,128
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,71457573,3789928,64802820,2861586,1,2048,256
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124032837,3770454,117395456,2864681,1,2048,512
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,124151315,3789017,117455872,2904246,1,2048,1024
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,10168868,4046873,3161088,2956721,1,128,64
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,12030109,4049868,5022912,2949807,1,128,128
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,16863079,4117986,9761856,2970716,1,128,256
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,26365869,4187123,19182144,2973380,1,128,512
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,45735243,4349833,38366912,2975240,1,128,1024
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,10219217,4051809,3167744,2991954,1,256,64
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,12090116,4071286,5018080,2988472,1,256,128
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,16897547,4142274,9766976,2965094,1,256,256
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,26454296,4245248,19197152,2968034,1,256,512
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,46104689,4689603,38363040,2965919,1,256,1024
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,10248011,4103107,3163936,2968507,1,512,64
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,12134622,4132963,5019680,2958478,1,512,128
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,17037149,4256730,9771840,2964389,1,512,256
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,26751795,4503886,19191520,2974512,1,512,512
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,46787138,5348124,38357408,2995761,1,512,1024
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,10293209,4137604,3166176,2965670,1,1024,64
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,12284715,4258483,5013216,2968392,1,1024,128
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,17345376,4493168,9758720,3006783,1,1024,256
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,27527028,5267050,19197568,2976673,1,1024,512
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,48258546,6772852,38380672,3019734,1,1024,1024
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,10523743,4295213,3173248,3010708,1,2048,64
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,13105035,4501724,5022976,3494381,1,2048,128
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,17819682,4982079,9760096,2992577,1,2048,256
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,28241242,5955620,19196288,3003410,1,2048,512
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,51103618,9594221,38367904,3056473,1,2048,1024
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7370695,3869539,616448,2883127,1,128,64
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7324268,3813946,614400,2893710,1,128,128
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7299391,3814289,606208,2875183,1,128,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7305999,3820234,605184,2878767,1,128,512
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7311465,3827889,605184,2875030,1,128,1024
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7322727,3817771,617472,2883651,1,256,64
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7305402,3804493,610304,2887902,1,256,128
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7297175,3809629,606208,2878460,1,256,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7304729,3810001,609280,2882533,1,256,512
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7304461,3814333,608256,2879383,1,256,1024
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7323290,3820509,605184,2895748,1,512,64
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7311442,3815707,608256,2884815,1,512,128
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7307228,3817753,609280,2878058,1,512,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7315953,3824847,608256,2880209,1,512,512
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,8395276,3835601,610304,3947007,1,512,1024
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7303160,3814612,606208,2878175,1,1024,64
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7302540,3812401,612352,2874445,1,1024,128
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7299148,3818879,603136,2873584,1,1024,256
