competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,809095835,518144531,254212032,36733039,1,128,64
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,18965206,3463332,2046560,13450064,1,128,128
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,26392670,3296684,2032640,21059486,1,128,256
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,26468820,3317714,2033344,21112846,1,128,512
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,26830168,3114855,2027808,21682093,1,128,1024
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,27057526,3085875,2026720,21940741,1,256,64
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,10932416,3123444,2019264,5784882,1,256,128
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,10783807,3078915,2031071,5668762,1,256,256
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,14122701,4843647,2044447,7227315,1,256,512
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,10948146,3076595,2026079,5840501,1,256,1024
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,12309279,3070675,2024480,7208994,1,512,64
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,10982416,3039925,2031647,5906001,1,512,128
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,10876716,3086154,2028768,5758132,1,512,256
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,11381634,3047416,2029311,6300068,1,512,512
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,11139005,3139065,2030944,5964760,1,512,1024
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,11859391,3054645,2028960,6771756,1,1024,64
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,10974625,3064205,2022592,5883341,1,1024,128
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,11034876,3080285,2028352,5921711,1,1024,256
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,10858167,3038935,2030240,5785522,1,1024,512
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,10885726,3081985,2029504,5769521,1,1024,1024
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,11335184,3028645,2030944,6270559,1,2048,64
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,11103805,3073135,2026432,5999530,1,2048,128
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,12264629,3060155,2027136,7173075,1,2048,256
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,12345430,3083945,2034784,7221555,1,2048,512
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,11007826,3091785,2033536,5877591,1,2048,1024
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,36808308,2155089,32850944,1796761,1,128,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,41753874,2352088,37603328,1792311,1,128,128
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,64614161,2361219,60465152,1781071,1,128,256
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117365601,2317629,113238016,1803802,1,128,512
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117461500,2343279,113328128,1784661,1,128,1024
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,42138052,2340819,38000640,1789231,1,256,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,64288562,2344088,60161024,1777511,1,256,128
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117493600,2355078,113338368,1795012,1,256,256
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117440320,2332979,113309696,1792151,1,256,512
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117447630,2341518,113319936,1780701,1,256,1024
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,41686654,2355268,37531648,1793671,1,512,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,64540362,2335289,60422144,1777021,1,512,128
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117455840,2350359,113301504,1797441,1,512,256
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117519620,2349998,113367040,1796782,1,512,512
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117460560,2326749,113332224,1794381,1,512,1024
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,42142862,2351799,38007808,1776661,1,1024,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,64601141,2339218,60464128,1790741,1,1024,128
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117410140,2357748,113258496,1788961,1,1024,256
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117353670,2352488,113198080,1797381,1,1024,512
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117463360,2309409,113356800,1792561,1,1024,1024
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,42131222,2332738,37997568,1794971,1,2048,64
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,64498922,2341279,60385280,1766011,1,2048,128
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117508170,2337919,113383424,1780731,1,2048,256
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117355540,2337918,113226752,1785551,1,2048,512
GPU-Tiled,RandomWithDensity,CSR,4000,4000,64,1600000,117541660,2330888,113383424,1822002,1,2048,1024
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,7231084,2565998,2808832,1849000,1,128,64
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,9321594,2601777,4903392,1811891,1,128,128
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,14139740,2668827,9620736,1842231,1,128,256
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,23259115,2718287,18671264,1855411,1,128,512
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,41814893,2828006,37076352,1883570,1,128,1024
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,9371444,2641577,4894688,1829511,1,256,64
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,14117460,2631347,9630304,1848041,1,256,128
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,23222266,2671277,18674752,1865851,1,256,256
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,41895353,2810036,37156832,1900660,1,256,512
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,79011580,3134585,73946496,1877241,1,256,1024
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,9451353,2723617,4892032,1827661,1,512,64
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,14193910,2681847,9620384,1881021,1,512,128
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,23366614,2807536,18647968,1883070,1,512,256
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,42066812,2971095,37157920,1897921,1,512,512
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,79480078,3565633,73947840,1912751,1,512,1024
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,9488253,2781246,4889216,1803021,1,1024,64
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,14227410,2752397,9602464,1844831,1,1024,128
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,23525304,2955425,18658272,1873541,1,1024,256
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,42527879,3404172,37160384,1908850,1,1024,512
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,80661441,4758746,73944512,1918530,1,1024,1024
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,9618513,2905186,4876512,1808512,1,2048,64
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,14470719,2966555,9603104,1861681,1,2048,128
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,23974271,3386573,18644736,1888610,1,2048,256
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,43463735,4345758,37153792,1922410,1,2048,512
GPU-Thread-Dispatcher,RandomWithDensity,CSR,4000,4000,64,1600000,82722952,6744517,73943520,1996370,1,2048,1024
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,5483684,3313964,417792,1746782,1,128,64
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4465708,2383448,422912,1653912,1,128,128
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4354668,2282368,420864,1646732,1,128,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4370969,2296189,418816,1651242,1,128,512
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4411878,2346888,418816,1641742,1,128,1024
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4359569,2279779,417792,1656892,1,256,64
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4442868,2366368,414720,1655642,1,256,128
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4357138,2281918,418816,1651531,1,256,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4432798,2363499,418816,1646041,1,256,512
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4348168,2272129,417792,1654322,1,256,1024
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4350748,2280289,418816,1647561,1,512,64
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4354709,2286039,416768,1647442,1,512,128
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4608187,2533857,418816,1651032,1,512,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4352899,2288239,416768,1642062,1,512,512
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4452687,2362578,416768,1666451,1,512,1024
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4339019,2265589,418816,1650322,1,1024,64
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4358219,2285219,416768,1650682,1,1024,128
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4347389,2279429,414720,1647472,1,1024,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4423159,2349889,417792,1649522,1,1024,512
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4355388,2278239,417792,1653731,1,1024,1024
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4367279,2303389,416768,1642682,1,2048,64
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4355409,2289449,416768,1644572,1,2048,128
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4433438,2358228,417792,1652832,1,2048,256
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4576428,2498688,419840,1653542,1,2048,512
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,4432859,2360929,417792,1648632,1,2048,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4875266,2378668,726016,2453798,1,128,64
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4812696,2452458,586752,2319999,1,128,128
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4743107,2375918,602112,2327419,1,128,256
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4884656,2394158,726016,2450158,1,128,512
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,5144855,2401568,979968,2702927,1,128,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4650587,2385098,505855,2226199,1,256,64
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4689887,2419008,502784,2227059,1,256,128
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4801356,2408398,625664,2352268,1,256,256
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,5230024,2374818,891904,2815416,1,256,512
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,5860981,2631127,1463296,3187004,1,256,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4547237,2393677,394240,2113049,1,512,64
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4598377,2400779,434176,2154819,1,512,128
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4681497,2366608,562176,2275659,1,512,256
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,5069295,2436028,870400,2592217,1,512,512
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,5609133,2435628,1412096,3135595,1,512,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4559758,2442128,362496,2076700,1,1024,64
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4614387,2437078,412672,2134399,1,1024,128
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4681627,2369588,559104,2271279,1,1024,256
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,5025025,2447638,824320,2536077,1,1024,512
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,5995710,2735856,1413120,3220444,1,1024,1024
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4750096,2641467,335872,2067140,1,2048,64
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4544608,2383688,402432,2120590,1,2048,128
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4776346,2471617,542720,2263218,1,2048,256
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,4959095,2376378,823296,2543037,1,2048,512
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,5635852,2448118,1421312,3146794,1,2048,1024
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99935387,97288830,563072,2078980,1,128,64
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99073521,96435954,560032,2073850,1,128,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99342789,96713352,562752,2062300,1,128,256
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99280170,96643933,565216,2067330,1,128,512
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99365930,96735013,565632,2061480,1,128,1024
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99843197,97226860,559520,2052760,1,256,64
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99699808,97081361,560192,2054090,1,256,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99479319,96860472,565696,2049250,1,256,256
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99826107,97212060,560512,2049550,1,256,512
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99926356,97286660,560928,2074309,1,256,1024
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99709157,97075220,559232,2070349,1,512,64
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99537449,96907952,558784,2065840,1,512,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99743618,97115131,559168,2065010,1,512,256
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,100036136,97264200,703136,2064520,1,512,512
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99951796,97187980,705120,2055340,1,512,1024
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,100063666,97233490,707104,2119299,1,1024,64
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99602048,96836392,704832,2056879,1,1024,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,100279254,97497368,708128,2069459,1,1024,256
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99404199,96609243,708064,2082010,1,1024,512
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,100073556,97311890,706336,2051860,1,1024,1024
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,100053175,97278269,706240,2064409,1,2048,64
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99942046,97134900,707744,2094319,1,2048,128
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,100040155,97228960,712256,2095709,1,2048,256
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,99773698,96974991,708480,2086620,1,2048,512
GPU-Preprocessing,RandomWithDensity,CSR,4000,4000,64,1600000,100102556,97323830,714272,2060370,1,2048,1024
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,100059236,97263830,706656,2084340,1,128,64
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99560658,96782572,705216,2068430,1,128,128
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99753668,96965642,710496,2074070,1,128,256
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99425819,96646423,705024,2070040,1,128,512
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99885557,97111031,707488,2063230,1,128,1024
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,100002706,97234590,701856,2061450,1,256,64
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99669508,96873212,713184,2078140,1,256,128
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99868236,97067010,706816,2091139,1,256,256
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99773377,96987141,704704,2077460,1,256,512
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99921366,97144050,706624,2066340,1,256,1024
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99583948,96800492,705824,2073690,1,512,64
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99684038,96891212,704480,2083420,1,512,128
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99516928,96737842,709440,2066150,1,512,256
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99923926,97135660,706720,2077530,1,512,512
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99664328,96900671,704384,2055800,1,512,1024
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99646878,96883572,705120,2054450,1,1024,64
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99320969,96527243,712736,2076709,1,1024,128
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99775478,96982032,705760,2083990,1,1024,256
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,100126545,97335919,705984,2079479,1,1024,512
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,100052525,97260129,704384,2083809,1,1024,1024
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99899217,97115721,706208,2072800,1,2048,64
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99407950,96641913,708032,2053910,1,2048,128
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99706107,96920681,705792,2074969,1,2048,256
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,99942476,97148930,704672,2084760,1,2048,512
GPU-Dynamic,RandomWithDensity,CSR,4000,4000,64,1600000,100085937,97289630,707232,2085470,1,2048,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,5869711,2295799,1882112,1684611,1,128,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,5823831,2017960,2121728,1678392,1,128,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,7235915,2165630,3416064,1648232,1,128,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,10457618,2124050,6677504,1649561,1,128,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,16736668,2192529,12851200,1687812,1,128,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,5990871,2207919,2121728,1654723,1,256,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,7178254,2106919,3410944,1653192,1,256,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,10545908,2197149,6684672,1657742,1,256,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,17243895,2615227,12854272,1769232,1,256,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,17029246,2411988,12828672,1783091,1,256,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,6255509,2410738,2119680,1719641,1,512,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,7419894,2343528,3411968,1657392,1,512,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,10827476,2390548,6681600,1748271,1,512,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,17025646,2394488,12862464,1762801,1,512,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,14452048,2383648,10313728,1748141,1,512,1024
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,5716142,2357419,1651712,1700911,1,1024,64
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,6686227,2314408,2658304,1706972,1,1024,128
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,9300954,2378288,5203968,1713272,1,1024,256
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,14112620,2367968,9978880,1760101,1,1024,512
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,14173090,2394778,10016768,1754821,1,1024,1024
