competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,158974027,137250573,16334272,7783372,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,156434150,136810655,13840960,8188671,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,156328130,136601346,13818304,8307720,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,157520944,137845650,13766528,8309100,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,156277410,137099813,13843680,7736622,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,156030922,136515367,13858144,8049131,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,158086831,138423967,13796384,8267080,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,156659669,136791175,13858272,8410510,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,156130920,136342766,13841152,8347649,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,155769783,136024018,13816736,8328520,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,155820982,136123298,13842560,8254870,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,163524175,141375563,16331776,8198640,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,158114891,138031179,13790208,8692457,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,157133776,137036074,13838656,8657908,1,2048,1024
GPU-Dynamic,Boeing,CSR,36000,36000,256,7128473,157583894,137448812,13820288,8713668,1,2048,1024
GPU-Thread-Dispatcher,chip,CSR,2987012,2987012,96,10342811,34120211434,268073406,33841207296,11132216,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,45985896,13294045,30361408,4718557,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,46880333,14378091,30342656,4548738,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,45812447,13208636,30370144,4616937,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,46692314,14249271,30352736,4470359,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,48369885,15646075,30379104,4726737,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,47633888,15228636,30383744,4403358,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,45733248,13141806,30374880,4591918,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,46198406,13546834,30361728,4665218,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,46698093,14271711,30362976,4443538,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,46284785,13474035,30385408,4806206,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,48721133,16042592,30562432,4497578,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,45780158,13386755,30360704,4413649,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,45693578,13293966,30372128,4410178,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,47063201,14653838,30367744,4419269,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,45655638,13258526,30353152,4425768,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,46905772,13940683,30351104,4992516,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,45656428,13232605,30371872,4432268,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,46290285,13911932,30361248,4398059,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,45573718,13193676,30360384,4399718,1,512,64
GPU-Thread-Dispatcher,Boeing Diagonal,CSR,52329,52329,256,1306247,45705378,13203227,30336960,4546218,1,512,64
GPU-Shared,Boeing Diagonal,CSR,52329,52329,256,1306247,114454134,14162081,95909888,6652698,1,6544,256
GPU-Shared,Boeing Diagonal,CSR,52329,52329,256,1306247,151745632,17619194,126732288,5146315,1,6544,256
GPU-Shared,Boeing Diagonal,CSR,52329,52329,256,1306247,127494081,33286649,89262080,4930046,1,6544,256
GPU-Shared,Boeing Diagonal,CSR,52329,52329,256,1306247,104014254,12894017,86615040,4491808,1,6544,256
