competitor,dataset,mat_repr,M,N,K,total_ns,init_ns,comp_ns,cleanup_ns,correctness
CPU-Basic,NIPS,COO,11463,5811,32,48568648,370,48567579,699,1
CPU-PyTorch,NIPS,CSR,11463,5811,32,68416246,1850290,62788632,3777324,1
GPU-Basic,NIPS,COO,11463,5811,32,282121334,270098768,470270,11552296,1
GPU-PyTorch,NIPS,CSR,11463,5811,32,56959139,7978647,34502445,14478047,1
GPU-Tiled,NIPS,CSR,11463,5811,32,52493605,7803570,152192,44537843,1
CPU-Basic,EMail-Enron,CSR,36692,36692,32,5067672,289,5066934,449,1
CPU-Basic,EMail-Enron,COO,36692,36692,32,4268390,211,4267759,420,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,32,5253446,213465,4668477,371504,1
GPU-Basic,EMail-Enron,COO,36692,36692,32,6489955,3676952,20642,2792361,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,32,3778845,1994351,460422,1324072,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,32,72728758,2474415,14289,70240054,1
CPU-Basic,NIPS,CSR,11463,5811,64,97309246,723,97307443,1080,1
CPU-Basic,NIPS,COO,11463,5811,64,94076483,369,94075630,484,1
CPU-PyTorch,NIPS,CSR,11463,5811,64,79166386,1722129,73679796,3764461,1
GPU-Basic,NIPS,COO,11463,5811,64,287647236,270252691,463155,16931390,1
GPU-PyTorch,NIPS,CSR,11463,5811,64,57647657,7832723,35456057,14358877,1
GPU-Tiled,NIPS,CSR,11463,5811,64,77425604,5365139,300297,71760168,1
CPU-Basic,EMail-Enron,CSR,36692,36692,64,10113788,288,10113070,430,1
CPU-Basic,EMail-Enron,COO,36692,36692,64,8510076,214,8509611,251,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,64,10571801,191597,9886950,493254,1
GPU-Basic,EMail-Enron,COO,36692,36692,64,6937351,3898972,19945,3018434,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,64,3507492,2046242,312801,1148449,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,64,120894190,3011599,15642,117866949,1
CPU-Basic,NIPS,CSR,11463,5811,128,212500360,762,212498851,747,1
CPU-Basic,NIPS,COO,11463,5811,128,199914905,451,199913508,946,1
CPU-PyTorch,NIPS,CSR,11463,5811,128,78936768,2317649,72881179,3737940,1
GPU-Basic,NIPS,COO,11463,5811,128,276822336,248209654,438668,28174014,1
GPU-PyTorch,NIPS,CSR,11463,5811,128,59336269,8692622,35167969,15475678,0
GPU-Tiled,NIPS,CSR,11463,5811,128,133659297,4989944,98236,128571117,1
CPU-Basic,EMail-Enron,CSR,36692,36692,128,21505015,312,21503862,841,1
CPU-Basic,EMail-Enron,COO,36692,36692,128,18359773,170,18358753,850,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,128,13666682,188373,12878819,599490,1
GPU-Basic,EMail-Enron,COO,36692,36692,128,8847861,5050816,23298,3773747,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,128,5724039,4168982,455554,1099503,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,128,196171041,4593375,14680,191562986,1
CPU-Basic,NIPS,CSR,11463,5811,32,45748023,715,45746521,787,1
CPU-Basic,NIPS,COO,11463,5811,32,50294332,421,50293204,707,1
CPU-PyTorch,NIPS,CSR,11463,5811,32,71696116,1856858,61554840,8284418,1
GPU-Basic,NIPS,COO,11463,5811,32,278960619,267250482,448534,11261603,1
GPU-PyTorch,NIPS,CSR,11463,5811,32,60829598,8469455,36934562,15425581,1
GPU-Tiled,NIPS,CSR,11463,5811,32,49467552,5174094,163565,44129893,1
CPU-Basic,EMail-Enron,CSR,36692,36692,32,4941676,280,4941105,291,1
CPU-Basic,EMail-Enron,COO,36692,36692,32,4675571,226,4675043,302,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,32,6687024,180422,6074089,432513,1
GPU-Basic,EMail-Enron,COO,36692,36692,32,7323859,5408703,19430,1895726,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,32,3329318,1804428,455104,1069786,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,32,71957623,1886034,11553,70060036,1
CPU-Basic,NIPS,CSR,11463,5811,64,99731318,886,99729506,926,1
CPU-Basic,NIPS,COO,11463,5811,64,95506264,317,95505277,670,1
CPU-PyTorch,NIPS,CSR,11463,5811,64,71643321,1757395,66363460,3522466,1
GPU-Basic,NIPS,COO,11463,5811,64,280747975,263435240,504375,16808360,1
GPU-PyTorch,NIPS,CSR,11463,5811,64,58400485,8480235,35174301,14745949,1
GPU-Tiled,NIPS,CSR,11463,5811,64,76188029,5271760,185581,70730688,1
CPU-Basic,EMail-Enron,CSR,36692,36692,64,10619002,163,10618033,806,1
CPU-Basic,EMail-Enron,COO,36692,36692,64,9064380,138,9063678,564,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,64,9272653,187513,8654681,430459,1
GPU-Basic,EMail-Enron,COO,36692,36692,64,6186533,3955472,20276,2210785,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,64,4227262,2710596,448120,1068546,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,64,120053175,3380449,13838,116658888,1
CPU-Basic,NIPS,CSR,11463,5811,128,208022176,812,208020457,907,1
CPU-Basic,NIPS,COO,11463,5811,128,191505620,493,191503772,1355,1
CPU-PyTorch,NIPS,CSR,11463,5811,128,63574594,1832095,58085667,3656832,1
GPU-Basic,NIPS,COO,11463,5811,128,273604720,243858747,1700862,28045111,1
GPU-PyTorch,NIPS,CSR,11463,5811,128,58764104,9365838,35016869,14381397,1
GPU-Tiled,NIPS,CSR,11463,5811,128,133600212,5227045,137105,128236062,1
CPU-Basic,EMail-Enron,CSR,36692,36692,128,20559422,288,20558483,651,1
CPU-Basic,EMail-Enron,COO,36692,36692,128,18424698,279,18423530,889,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,128,13773294,198029,13234702,340563,1
GPU-Basic,EMail-Enron,COO,36692,36692,128,10172981,5121156,19260,5032565,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,128,5729707,4174711,420796,1134200,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,128,196720587,4619111,15190,192086286,1
CPU-Basic,NIPS,CSR,11463,5811,32,44935130,585,44933829,716,1
CPU-Basic,NIPS,COO,11463,5811,32,47069056,396,47068081,579,1
CPU-PyTorch,NIPS,CSR,11463,5811,32,75148193,1806940,66010213,7331040,1
GPU-Basic,NIPS,COO,11463,5811,32,263483015,251591788,438072,11453155,1
GPU-PyTorch,NIPS,CSR,11463,5811,32,56032505,8025073,33058531,14948901,1
GPU-Tiled,NIPS,CSR,11463,5811,32,48752453,4651867,98472,44002114,1
CPU-Basic,EMail-Enron,CSR,36692,36692,32,4658263,216,4657767,280,1
CPU-Basic,EMail-Enron,COO,36692,36692,32,4271973,150,4271520,303,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,32,5183165,178861,4704133,300171,1
GPU-Basic,EMail-Enron,COO,36692,36692,32,5618896,3689915,19433,1909548,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,32,3173617,1637398,455367,1080852,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,32,71086984,1822249,13870,69250865,1
CPU-Basic,NIPS,CSR,11463,5811,64,99474511,821,99472776,914,1
CPU-Basic,NIPS,COO,11463,5811,64,97424343,454,97422789,1100,1
CPU-PyTorch,NIPS,CSR,11463,5811,64,71175894,1864792,65587922,3723180,1
GPU-Basic,NIPS,COO,11463,5811,64,325716653,308171552,401497,17143604,1
GPU-PyTorch,NIPS,CSR,11463,5811,64,56254774,8345280,33864657,14044837,1
GPU-Tiled,NIPS,CSR,11463,5811,64,78412897,5285302,136505,72991090,1
CPU-Basic,EMail-Enron,CSR,36692,36692,64,9865762,182,9865070,510,1
CPU-Basic,EMail-Enron,COO,36692,36692,64,9177464,143,9176590,731,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,64,9433768,202415,8917400,313953,1
GPU-Basic,EMail-Enron,COO,36692,36692,64,5965375,3683372,19940,2262063,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,64,3910568,2622069,313416,975083,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,64,114577637,2903571,12918,111661148,1
CPU-Basic,NIPS,CSR,11463,5811,128,207832827,973,207830830,1024,1
CPU-Basic,NIPS,COO,11463,5811,128,190091881,372,190090904,605,1
CPU-PyTorch,NIPS,CSR,11463,5811,128,81526268,1817946,75875427,3832895,1
GPU-Basic,NIPS,COO,11463,5811,128,269209075,240358911,674600,28175564,1
GPU-PyTorch,NIPS,CSR,11463,5811,128,63529240,8759640,40517143,14252457,1
GPU-Tiled,NIPS,CSR,11463,5811,128,127554302,5037584,97730,122418988,1
CPU-Basic,EMail-Enron,CSR,36692,36692,128,19311370,255,19310439,676,1
CPU-Basic,EMail-Enron,COO,36692,36692,128,17648368,348,17647167,853,1
CPU-PyTorch,EMail-Enron,CSR,36692,36692,128,8310469,198125,7773667,338677,1
GPU-Basic,EMail-Enron,COO,36692,36692,128,9253635,5569395,20723,3663517,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,128,6394469,4449552,818440,1126477,1
GPU-Tiled,EMail-Enron,CSR,36692,36692,128,196564924,4720826,17955,191826143,1
