competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21789362894,129677474,21611077632,48643397,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21634261421,129442911,21456238592,48614625,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21741047105,128987219,21563199488,48892933,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21870180941,129235753,21692334080,48642988,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21829340552,128663561,21652219904,48489571,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21883204146,128918102,21705752576,48566887,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21682721268,129071402,21505062912,48618905,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21658224331,128640946,21481046016,48567406,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21776510442,128797191,21599293440,48451962,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21794516693,128784444,21617201152,48563076,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21682922184,128731101,21505626112,48594505,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21736346019,129530233,21557207040,49639005,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21807813455,129148442,21630253056,48441186,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21690904997,129080955,21513283584,48571569,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21750788255,129070613,21572108288,49641567,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21677994948,128864275,21500704768,48457357,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21832788774,129336290,21654902784,48578777,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21648037616,129041109,21470441472,48583277,1
GPU-Tiled,VLSI,CSR,1453908,1453908,32,28830019,21722797445,129347546,21544921088,48555491,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,542486007,130660259,363257568,48515009,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541157079,129316399,363287904,48499050,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,540941732,129059734,363305600,48523466,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541589404,129117394,363915584,48503598,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541580691,129304181,363688256,48534737,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541469894,129204672,363759040,48453881,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541966508,129798693,363649792,48466204,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541371695,129075834,363759712,48483485,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541977401,129943501,363499584,48481033,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541792469,129684574,363544032,48511766,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541565788,129196760,363818208,48497855,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,540870882,129070383,363235360,48511776,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541920568,129806175,363584000,48478574,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,542089238,129773565,363654432,48608518,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541741737,129130066,364067488,48491467,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541106628,129259989,363302048,48491922,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541712986,129273265,363884384,48502319,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541098136,129307634,363241664,48495955,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,541228648,129212720,363499968,48463412,1
GPU-Thread-Dispatcher,VLSI,CSR,1453908,1453908,32,28830019,540828131,129443510,362766336,48566098,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6545036011,129167577,6367436800,48450876,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6539899127,130160027,6361193472,48565095,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6521484029,129159959,6343977984,48364358,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6512808069,128885426,6335548416,48392654,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6528046770,128937235,6350735360,48390909,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6520522644,129106657,6343032832,48400139,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6532864615,129384808,6355011584,48484353,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6519663081,129556131,6340609024,49514963,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6522728331,129268554,6345023488,48452205,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6544477077,129048962,6367011840,48432815,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6528240917,129286372,6349327360,49642682,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6531334562,129680473,6353210368,48459110,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6513857623,128874043,6336592896,48405080,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6525357732,128817937,6348128256,48425722,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6539246387,130073945,6360615936,48571820,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6530084309,128933333,6352753664,48413094,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6528131618,128892982,6350829568,48424271,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6518167623,129408365,6340405248,48368953,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6528802842,129108021,6351266816,48442651,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6534644774,129088444,6357035008,48535595,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514468316,129708312,336132416,48581437,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,515443721,129233615,336465248,49699684,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514073258,129083172,336339712,48604748,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,516590798,129185626,338756320,48603353,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,515118064,129520322,336930496,48621896,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514464235,128953043,336854464,48610672,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,516208492,130726152,336738624,48696841,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514065738,129378620,335973216,48667550,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514834858,129574666,336616288,48597131,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514105408,129147845,336370336,48541166,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,515353739,129085192,336590944,49631800,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514533122,129383807,336509888,48594424,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514799604,129360543,336811232,48582448,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514545872,129441576,336458272,48600320,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514712638,129565457,336534016,48567955,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514945027,129266636,337032640,48600288,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,516324140,131186288,336416896,48675410,1
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,514618261,129460593,336509792,48601886,1
