competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,13720573,4198633,6439936,3066979,1
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,13952512,5118899,4456000,4306226,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,32,1600000,488429914,334834554,119441312,34148863,1
GPU-Shared,RandomWithDensity,CSR,4000,4000,32,1600000,7273383,3725279,478208,3067112,1
GPU-Convert,RandomWithDensity,CSR,4000,4000,32,1600000,7969275,3634671,1280000,3051558,1
GPU-Basic,NIPS,CSR,11463,5811,32,4033830,92359895,8233424,77082624,7038010,1
GPU-Basic,NIPS,COO,11463,5811,32,4033830,32376394,11585060,10227648,10532106,1
GPU-PyTorch,NIPS,CSR,11463,5811,32,4033830,96651204,14143658,4720480,77783196,1
GPU-Shared,NIPS,CSR,11463,5811,32,4033830,17457459,8210324,2025471,7218447,1
GPU-Convert,NIPS,CSR,11463,5811,32,4033830,17482701,8240941,2025471,7210670,1
GPU-Basic,EMail-Enron,CSR,36692,36692,32,367662,49015638,3379483,44406976,1216102,1
GPU-Basic,EMail-Enron,COO,36692,36692,32,367662,6363315,3652652,1107840,1567237,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,32,367662,20421170,3412455,8991968,8014031,1
GPU-Shared,EMail-Enron,CSR,36692,36692,32,367662,8303525,3343159,3755008,1202309,1
GPU-Convert,EMail-Enron,CSR,36692,36692,32,367662,6052998,3376207,300288,2361839,1
GPU-Basic,ND12K,CSR,36000,36000,32,7128473,78920780,15006411,51879392,12021004,1
GPU-Basic,ND12K,COO,36000,36000,32,7128473,60839085,20870826,22056352,17854689,1
GPU-PyTorch,ND12K,CSR,36000,36000,32,7128473,179669299,26250006,15251168,138164415,1
GPU-Shared,ND12K,CSR,36000,36000,32,7128473,32082732,15061308,4985856,12033386,1
GPU-Convert,ND12K,CSR,36000,36000,32,7128473,30686860,15137682,3382176,12153833,1
GPU-Basic,HumanGene2,CSR,14340,14340,32,9041364,175842120,17009627,143263744,15561629,1
GPU-Basic,HumanGene2,COO,14340,14340,32,9041364,70633683,24611293,23400320,22581260,1
GPU-PyTorch,HumanGene2,CSR,14340,14340,32,9041364,163570884,45548881,11063200,106951072,1
GPU-Shared,HumanGene2,CSR,14340,14340,32,9041364,36179036,17030330,3650560,15494780,1
GPU-Convert,HumanGene2,CSR,14340,14340,32,9041364,38307826,17200496,5434368,15665727,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,32,1600000,12442601,3666282,5755904,3016854,1
GPU-Basic,RandomWithDensity,COO,4000,4000,32,1600000,13681139,5210447,4039904,4359979,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,32,1600000,26586511,5854158,2333824,18394480,1
GPU-Shared,RandomWithDensity,CSR,4000,4000,32,1600000,8363115,4904183,438272,3017188,1
GPU-Convert,RandomWithDensity,CSR,4000,4000,32,1600000,7851240,3680826,1142784,3024887,1
GPU-Basic,Boeing,CSR,36000,36000,32,7128473,75285490,15015164,47604512,12652755,1
GPU-Basic,Boeing,COO,36000,36000,32,7128473,58487997,20875845,20171872,17382047,1
GPU-PyTorch,Boeing,CSR,36000,36000,32,7128473,99778724,25797987,15094976,58882750,1
GPU-Shared,Boeing,CSR,36000,36000,32,7128473,31794977,15085585,4891648,11815093,1
GPU-Convert,Boeing,CSR,36000,36000,32,7128473,30317609,15140910,3291488,11871384,1
GPU-Basic,Boeing Diagonal,CSR,52329,52329,32,1306247,20753230,5959304,12017600,2756884,1
GPU-Basic,Boeing Diagonal,COO,52329,52329,32,1306247,15432498,7029735,3613408,4705386,1
GPU-PyTorch,Boeing Diagonal,CSR,52329,52329,32,1306247,35197366,7464223,18058048,9671642,1
GPU-Shared,Boeing Diagonal,CSR,52329,52329,32,1306247,17161561,6026913,7280640,3851540,1
GPU-Convert,Boeing Diagonal,CSR,52329,52329,32,1306247,9325422,5962350,476032,2867566,1
GPU-Basic,Stiffness,CSR,503712,503712,32,18645984,239583767,60844362,147479776,31181802,1
GPU-Basic,Stiffness,COO,503712,503712,32,18645984,182440429,76151611,59593536,46630158,1
GPU-PyTorch,Stiffness,CSR,503712,503712,32,18645984,2034662174,114164002,1574048768,346450586,1
GPU-Shared,Stiffness,CSR,503712,503712,32,18645984,794296880,59856571,703218688,31221641,1
GPU-Convert,Stiffness,CSR,503712,503712,32,18645984,130908476,60073566,39435552,31320542,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,32,32234285,921364587,115112666,752261760,53938875,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,32,32234285,324676094,140818789,105024864,78753140,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,32,32234285,10332343520,208390104,9629313024,494680055,1
GPU-Shared,Semi-conductor,CSR,1090664,1090664,32,32234285,3807772784,114634723,3639045120,54106356,1
Largest relative difference is : 1.14695
[ GPU-Convert] !!! Wrong results calculated compared to CPU-Basic (CSR) !!!
GPU-Convert,Semi-conductor,CSR,1090664,1090664,32,32234285,339266145,114911965,170125728,54167152,0
GPU-Basic,VLSI,CSR,1453908,1453908,32,28830019,426365540,128726872,248902848,48691564,1
GPU-Basic,VLSI,COO,1453908,1453908,32,28830019,320018865,152349606,97222272,70364414,1
GPU-PyTorch,VLSI,CSR,1453908,1453908,32,28830019,17664147261,212046185,17118540800,333637717,1
GPU-Shared,VLSI,CSR,1453908,1453908,32,28830019,6519751668,128944518,6341940224,48893979,1
Largest relative difference is : 1.72801
[ GPU-Convert] !!! Wrong results calculated compared to CPU-Basic (CSR) !!!
GPU-Convert,VLSI,CSR,1453908,1453908,32,28830019,336727503,128879488,158965152,48837131,0
