competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,18661999,4051943,11430912,3162777,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,17223984,5418005,7485440,4249081,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,30986339,8701529,6286144,15994361,1
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7830646,4037280,666624,3124676,1
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,8845115,3919717,1889280,3034180,1
GPU-Basic,NIPS,CSR,11463,5811,64,4033830,158079364,9473381,141615104,6985278,1
GPU-Basic,NIPS,COO,11463,5811,64,4033830,39781790,12003271,17167296,10578338,1
GPU-PyTorch,NIPS,CSR,11463,5811,64,4033830,57551553,14447979,4960512,38139086,1
GPU-Shared,NIPS,CSR,11463,5811,64,4033830,18790639,8664370,2988032,7134523,1
GPU-Convert,NIPS,CSR,11463,5811,64,4033830,19208247,8649857,3414016,7139261,1
GPU-Basic,EMail-Enron,CSR,36692,36692,64,367662,89774014,5415383,83133984,1211676,1
GPU-Basic,EMail-Enron,COO,36692,36692,64,367662,9256394,5692214,1954848,1574323,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,64,367662,19310170,5421567,10896800,2989173,1
GPU-Shared,EMail-Enron,CSR,36692,36692,64,367662,13896021,5403696,7297024,1191533,1
GPU-Convert,EMail-Enron,CSR,36692,36692,64,367662,7143440,5384756,467584,1277054,1
GPU-Basic,ND12K,CSR,36000,36000,64,7128473,122152665,17025073,93120064,11994294,1
GPU-Basic,ND12K,COO,36000,36000,64,7128473,78062393,22882936,37720352,17402734,1
GPU-PyTorch,ND12K,CSR,36000,36000,64,7128473,112427189,27863427,17022432,67537055,1
GPU-Shared,ND12K,CSR,36000,36000,64,7128473,38795816,17027525,9281536,12483368,1
GPU-Convert,ND12K,CSR,36000,36000,64,7128473,35214019,17057753,5636800,12505808,1
GPU-Basic,HumanGene2,CSR,14340,14340,64,9041364,292155713,17832175,259028992,15288237,1
GPU-Basic,HumanGene2,COO,14340,14340,64,9041364,87909173,25296578,40036000,22535916,1
GPU-PyTorch,HumanGene2,CSR,14340,14340,64,9041364,157907179,45338061,11522464,101040080,1
GPU-Shared,HumanGene2,CSR,14340,14340,64,9041364,38826063,17812101,5748736,15262056,1
GPU-Convert,HumanGene2,CSR,14340,14340,64,9041364,42229620,18163419,8625152,15433308,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,64,1600000,18099650,3878563,10191872,4026409,1
GPU-Basic,RandomWithDensity,COO,4000,4000,64,1600000,16705614,5436032,6738688,4459148,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,64,1600000,20098141,6099444,2398016,11597373,1
GPU-Shared,RandomWithDensity,CSR,4000,4000,64,1600000,7673303,4017099,611328,3041877,1
GPU-Convert,RandomWithDensity,CSR,4000,4000,64,1600000,8704716,3955854,1681408,3065059,1
GPU-Basic,Boeing,CSR,36000,36000,64,7128473,123075067,17023005,93378784,12660175,1
GPU-Basic,Boeing,COO,36000,36000,64,7128473,77663958,22842918,37716352,17047372,1
GPU-PyTorch,Boeing,CSR,36000,36000,64,7128473,112781531,27882813,17031936,67863797,1
GPU-Shared,Boeing,CSR,36000,36000,64,7128473,38803926,17103531,9114624,12582443,1
GPU-Convert,Boeing,CSR,36000,36000,64,7128473,35549310,17149322,5675360,12711275,1
GPU-Basic,Boeing Diagonal,CSR,52329,52329,64,1306247,34534877,8794558,22987328,2734017,1
GPU-Basic,Boeing Diagonal,COO,52329,52329,64,1306247,21537768,10457176,7108096,3887998,1
GPU-PyTorch,Boeing Diagonal,CSR,52329,52329,64,1306247,43631645,10272361,22171360,11184692,1
GPU-Shared,Boeing Diagonal,CSR,52329,52329,64,1306247,25530346,8880782,13886464,2760700,1
GPU-Convert,Boeing Diagonal,CSR,52329,52329,64,1306247,12507791,8831740,848704,2808010,1
GPU-Basic,Stiffness,CSR,503712,503712,64,18645984,399105113,87141121,280578720,31308864,1
GPU-Basic,Stiffness,COO,503712,503712,64,18645984,255922711,102872005,107331520,45655729,1
GPU-PyTorch,Stiffness,CSR,503712,503712,64,18645984,2315956554,140896830,1965001216,210059916,1
GPU-Shared,Stiffness,CSR,503712,503712,64,18645984,1544474418,86891443,1426318336,31268805,1
GPU-Convert,Stiffness,CSR,503712,503712,64,18645984,233851249,87558858,114818944,31395775,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,64,32234285,1633905650,174181795,1405947008,53721893,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,64,32234285,464940818,200411125,185525952,78924354,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,64,32234285,13374041600,269829197,12628049920,476217053,1
GPU-Shared,Semi-conductor,CSR,1090664,1090664,64,32234285,7429323731,173569086,7202111488,53674027,1
Largest relative difference is : 0.611207
[ GPU-Convert] !!! Wrong results calculated compared to CPU-Basic (CSR) !!!
GPU-Convert,Semi-conductor,CSR,1090664,1090664,64,32234285,640654721,174410916,412382976,53801000,0
GPU-Basic,VLSI,CSR,1453908,1453908,64,28830019,720131071,208139683,461743200,50203910,1
GPU-Basic,VLSI,COO,1453908,1453908,64,28830019,469878799,229653143,169428224,70715604,1
GPU-PyTorch,VLSI,CSR,1453908,1453908,64,28830019,22979194133,291560128,22356627456,331104828,1
GPU-Shared,VLSI,CSR,1453908,1453908,64,28830019,12828097696,207295135,12572191744,48665393,1
Largest relative difference is : 0.691696
[ GPU-Convert] !!! Wrong results calculated compared to CPU-Basic (CSR) !!!
GPU-Convert,VLSI,CSR,1453908,1453908,64,28830019,621276982,207984304,364393920,48853193,0
